Date,Total Revenue/Income,Total Operating Expense,Operating Income/Profit,EBITDA,EBIT,Income/Profit Before Tax,Net Income From Continuing Operation,Net Income,Net Income Applicable to Common Share,EPS (Earning Per Share)
Dec 2021,9.16,7.84,1.33,1.32,1.38,1.38,1.02,1.02,1.02,1.02
Mar 2022,13.02,11.10,1.93,2.16,1.31,1.82,1.51,1.51,1.51,1.51
Jun 2022,12.01,10.10,1.91,2.17,1.93,1.70,1.23,1.23,1.23,1.22
Sep 2022,14.10,11.78,2.32,2.33,2.05,1.78,1.28,1.28,1.28,1.28
Dec 2022,13.68,11.42,1.94,2.28,1.96,1.71,1.24,1.24,1.24,1.23
Mar 2023,16.06,13.58,2.49,2.82,2.51,2.24,1.66,1.66,1.66,1.65
Jun 2023,15.52,12.74,2.46,2.80,2.47,2.23,1.61,1.61,1.61,1.60
Sep 2023,14.00,11.82,1.83,2.20,1.85,1.42,1.20,1.20,1.20,1.14
Dec 2023,14.62,12.09,2.16,2.56,2.20,1.77,1.20,1.20,1.20,1.15
Mar 2024,19.08,15.45,3.25,3.72,3.33,3.08,2.33,2.33,2.33,2.22
Jun 2024,17.19,13.90,2.86,3.35,2.91,2.61,1.87,1.87,1.87,1.78
